,X,X.x,Site,CoreName_2,Extracted_IntervalStart_Depth_cm,Extracted_IntervalEnd_Depth_cm,Corrected_IntervalStart_Depth_cm,Corrected_IntervalEnd_Depth_cm,Corrected_DBD_g_cm3,Corrected_Sample_Thickness_cm,Province,Region,OC_Per,Study,Percent.Sand.Fraction,Percent.Gravel.Fraction,Core.Number,Type,Coast,Percent.Silt.Fraction,SiteName2.x,Corrected_Midpoint_cm,Corrected_Midpoint_cm_rounded,SiteCode,Watercourse_NEAR_DIST.x,REI_SUM,X.y,REI_Scaled,Elevation,Watercourse_NEAR_DIST.y,REI_Raw
242,242,242,Roberts Bank North,BC-RBN-3-BA-3,0,2,0,4,1.459525496,4,BC,Lower Mainland,0.525,Christensen,80.6,0,3,BA,Pacific,19.4,Robert's Bank North,2,5,RBN,8436.399749,2.7782e+64,46,0.3334105,-5,8436.399749,17885.86984
243,243,243,Roberts Bank North,BC-RBN-2-BA-2,2,5,3.5,8.8,2.029473114,5.3,BC,Lower Mainland,1.25,Christensen,31.2,0,2,BA,Pacific,68.7,Robert's Bank North,6.15,10,RBN,8436.399749,2.7782e+64,46,0.3334105,-5,8436.399749,17885.86984
244,244,244,Roberts Bank North,BC-RBN-2-BA-2,20,31.1,35.2,54.8,1.170372671,19.6,BC,Lower Mainland,0.405,Christensen,74.4,0,2,BA,Pacific,25.5,Robert's Bank North,45,45,RBN,8436.399749,2.7782e+64,46,0.3334105,-5,8436.399749,17885.86984
245,245,245,Roberts Bank North,BC-RBN-1-BA-1,0,2,0,3.2,0.607984123,3.2,BC,Lower Mainland,0.177,Christensen,95.4,0,1,BA,Pacific,4.6,Robert's Bank North,1.6,5,RBN,8436.399749,2.7782e+64,46,0.3334105,-5,8436.399749,17885.86984
246,246,246,Roberts Bank North,BC-RBN-1-BA-1,10,20,16,32.1,1.387918567,16.1,BC,Lower Mainland,0.21,Christensen,96.9,0,1,BA,Pacific,3.2,Robert's Bank North,24.05,25,RBN,8436.399749,2.7782e+64,46,0.3334105,-5,8436.399749,17885.86984
247,247,247,Roberts Bank North,BC-RBN-1-BA-1,2,5,3.2,8,1.047878518,4.8,BC,Lower Mainland,0.188,Christensen,97.3,0,1,BA,Pacific,2.5,Robert's Bank North,5.6,10,RBN,8436.399749,2.7782e+64,46,0.3334105,-5,8436.399749,17885.86984
248,248,248,Roberts Bank North,BC-RBN-1-BA-1,20,30.7,32.1,49.2,1.969884379,17.1,BC,Lower Mainland,0.483,Christensen,80.5,0,1,BA,Pacific,19.4,Robert's Bank North,40.65,45,RBN,8436.399749,2.7782e+64,46,0.3334105,-5,8436.399749,17885.86984
249,249,249,Roberts Bank North,BC-RBN-1-BA-1,5,10,8,6,1.266093448,-2,BC,Lower Mainland,0.231,Christensen,94.1,0.2,1,BA,Pacific,5.8,Robert's Bank North,7,10,RBN,8436.399749,2.7782e+64,46,0.3334105,-5,8436.399749,17885.86984
250,250,250,Roberts Bank North,BC-RBN-2-BA-2,0,2,0,3.5,2.396120929,3.5,BC,Lower Mainland,1.672,Christensen,40.1,0,2,BA,Pacific,59.8,Robert's Bank North,1.75,5,RBN,8436.399749,2.7782e+64,46,0.3334105,-5,8436.399749,17885.86984
251,251,251,Roberts Bank North,BC-RBN-2-BA-2,10,20,17.6,35.2,1.823892166,17.6,BC,Lower Mainland,1.221,Christensen,41.3,0,2,BA,Pacific,58.6,Robert's Bank North,26.4,30,RBN,8436.399749,2.7782e+64,46,0.3334105,-5,8436.399749,17885.86984
252,252,252,Roberts Bank North,BC-RBN-3-BA-3,10,20,20.1,40.1,1.53272073,20,BC,Lower Mainland,0.909,Christensen,65.2,0,3,BA,Pacific,34.9,Robert's Bank North,30.1,35,RBN,8436.399749,2.7782e+64,46,0.3334105,-5,8436.399749,17885.86984
253,253,253,Roberts Bank North,BC-RBN-3-BA-3,2,5,4,0,1.500351384,-4,BC,Lower Mainland,0.634,Christensen,79.4,0,3,BA,Pacific,20.7,Robert's Bank North,2,5,RBN,8436.399749,2.7782e+64,46,0.3334105,-5,8436.399749,17885.86984
254,254,254,Roberts Bank North,BC-RBN-3-BA-3,20,27.3,40.1,54.8,2.699442967,14.7,BC,Lower Mainland,0.193,Christensen,77.3,0,3,BA,Pacific,22.5,Robert's Bank North,47.45,50,RBN,8436.399749,2.7782e+64,46,0.3334105,-5,8436.399749,17885.86984
255,255,255,Roberts Bank North,BC-RBN-3-BA-3,5,10,10,20.1,1.369003623,10.1,BC,Lower Mainland,0.633,Christensen,81.1,0,3,BA,Pacific,18.9,Robert's Bank North,15.05,20,RBN,8436.399749,2.7782e+64,46,0.3334105,-5,8436.399749,17885.86984
256,256,256,Sacrifice Shallow,NS-SCs-1-BA-1,0,2,0,4.3,0.5,4.3,NS,Atlantic,0.508,Christensen,87.2,0,1,BA,Atlantic,12.9,Sacrifice Shallow,2.15,5,SCs,14864.16694,4.70543e+45,49,0.01492786,7,14864.16694,1013.474558
257,257,257,Sacrifice Shallow,NS-SCs-1-BA-1,10,20,21.5,42.9,0.5,21.4,NS,Atlantic,3.277,Christensen,68.2,0,1,BA,Atlantic,31.7,Sacrifice Shallow,32.2,35,SCs,14864.16694,4.70543e+45,49,0.01492786,7,14864.16694,1013.474558
258,258,258,Sacrifice Shallow,NS-SCs-1-BA-1,2,5,4.3,10.7,0.5,6.4,NS,Atlantic,0.936,Christensen,81.5,0,1,BA,Atlantic,18.6,Sacrifice Shallow,7.5,10,SCs,14864.16694,4.70543e+45,49,0.01492786,7,14864.16694,1013.474558
259,259,259,Sacrifice Shallow,NS-SCs-1-BA-1,5,10,10.7,21.5,0.5,10.8,NS,Atlantic,0.818,Christensen,84.4,0,1,BA,Atlantic,15.6,Sacrifice Shallow,16.1,20,SCs,14864.16694,4.70543e+45,49,0.01492786,7,14864.16694,1013.474558
260,260,260,Sacrifice Shallow,NS-SCs-2-BA-2,0,2,0,2,0.8,2,NS,Atlantic,2.577,Christensen,69.9,0,2,BA,Atlantic,30,Sacrifice Shallow,1,5,SCs,14864.16694,4.70543e+45,49,0.01492786,7,14864.16694,1013.474558
261,261,261,Sacrifice Shallow,NS-SCs-2-BA-2,10,20,10,20,1.2,10,NS,Atlantic,0.721,Christensen,82.1,0,2,BA,Atlantic,18,Sacrifice Shallow,15,15,SCs,14864.16694,4.70543e+45,49,0.01492786,7,14864.16694,1013.474558
