"","Site","CoreName_2","REI_Scaled","Type","Watercourse_NEAR_DIST.x","Coast","c_100","c_60","c_30","c_60_cm2","c_100_cm2","c_30_cm2","c_60_m2","c_100_m2","c_30_m2"
"60","Sooke","BC-SOO-2-SG-2",0.115469351,"SG",31277.59156,"Pacific",2.19744829803195,1.86276976627808,1.26751039795836,0.104568125230874,0.123355582088975,0.0711527470675935,1045.68125230874,1233.55582088975,711.527470675935
"61","Sooke","BC-SOO-3-SG-3",0.115469351,"SG",31277.59156,"Pacific",2.61622467065757,1.91393165001822,1.12341339654142,0.107440139992352,0.146863940968958,0.0630637424238974,1074.40139992352,1468.63940968958,630.637424238974
"62","Sooke","BC-SOO-4-SG-4",0.115469351,"SG",31277.59156,"Pacific",2.30080803859728,1.77233446378455,1.09091054387336,0.0994914645465369,0.129157766819974,0.0612391678416373,994.914645465369,1291.57766819974,612.391678416373
"63","Sooke","BC-SOO-5-SG-5",0.115469351,"SG",31277.59156,"Pacific",2.33983040322378,1.89375579157108,1.22456888372479,0.106307551450852,0.131348319611274,0.0687421895637797,1063.07551450852,1313.48319611274,687.421895637797
"64","Sooke","BC-SOO-7-BA-7",0.115469351,"BA",31277.59156,"Pacific",2.06637702310352,1.57218332055321,0.956452003267248,0.0882558141782497,0.11599778740119,0.0536912261866931,882.558141782496,1159.9778740119,536.912261866931
"65","TFN Intercauseway","BC-TFN-1-SG-1",0.066903857,"SG",7931.438082,"Pacific",4.28537957245836,3.71386302385727,2.59523300248179,0.208480779965077,0.240563335258556,0.145685556271961,2084.80779965077,2405.63335258556,1456.85556271961
"66","TFN Intercauseway","BC-TFN-2-SG-2",0.066903857,"SG",7931.438082,"Pacific",3.64603696989466,3.0872315494554,2.09791706208908,0.173304302616626,0.20467330819209,0.117768313639126,1733.04302616626,2046.7330819209,1177.68313639126
"67","TFN Intercauseway","BC-TFN-3-SG-3",0.066903857,"SG",7931.438082,"Pacific",3.10993967440825,2.79024651690203,2.04161289653071,0.156632801587389,0.174579042037897,0.114607632624375,1566.32801587389,1745.79042037897,1146.07632624375
"68","TFN Intercauseway","BC-TFN-4-BA-4",0.066903857,"BA",7931.438082,"Pacific",5.05264566735107,4.54066617577575,3.33014755399857,0.254894060390945,0.283634453626797,0.186940593930504,2548.94060390945,2836.34453626797,1869.40593930504
"69","TFN Intercauseway","BC-TFN-5-BA-5",0.066903857,"BA",7931.438082,"Pacific",4.45484599359103,3.93429744460348,2.81689550671126,0.220855048933293,0.250076473311487,0.158128764724699,2208.55048933293,2500.76473311487,1581.28764724699
