"","Site","CoreName_2","REI_Scaled","Type","Watercourse_NEAR_DIST.x","Coast","c_100","c_60","c_25","c_60_cm2","c_100_cm2","c_25_cm2"
"59","Sooke","BC-SOO-1-SG-1",0.115469351,"SG",31277.59156,"Pacific",3.08726031652291,2.78830388811991,1.84659457845689,0.18636109045108,0.2063423579994,0.123420327579258
"60","Sooke","BC-SOO-2-SG-2",0.115469351,"SG",31277.59156,"Pacific",2.19746730946847,1.86278117852049,1.11684213435839,0.124502186859877,0.146871510586774,0.0746460667029671
"61","Sooke","BC-SOO-3-SG-3",0.115469351,"SG",31277.59156,"Pacific",2.61625733233122,1.91394678223462,0.962491618881385,0.127921928066128,0.174862062715351,0.0643297842853514
"62","Sooke","BC-SOO-4-SG-4",0.115469351,"SG",31277.59156,"Pacific",2.30083394502132,1.77234754887308,0.942799942229209,0.118457899540139,0.15378019762048,0.0630136571769163
"63","Sooke","BC-SOO-5-SG-5",0.115469351,"SG",31277.59156,"Pacific",2.33985378393818,1.89376865555783,1.06822848493861,0.12657328823287,0.15638815572747,0.0713968897551902
"64","Sooke","BC-SOO-7-BA-7",0.115469351,"BA",31277.59156,"Pacific",2.06640087199835,1.57219501538831,0.82480814647929,0.105080360400415,0.138111459606484,0.0551274723841021
"65","TFN Intercauseway","BC-TFN-1-SG-1",0.066903857,"SG",7931.438082,"Pacific",4.28539660739715,3.713873297008,2.29919387095144,0.248223115269635,0.286421859601678,0.153670580446619
"66","TFN Intercauseway","BC-TFN-2-SG-2",0.066903857,"SG",7931.438082,"Pacific",3.6460512456998,3.08723934514411,1.84804381345304,0.206340956341195,0.24369011171422,0.123517189695096
"67","TFN Intercauseway","BC-TFN-3-SG-3",0.066903857,"SG",7931.438082,"Pacific",3.10994937722083,2.79025277785863,1.82647395892814,0.186491347851798,0.207858820430554,0.122075531335239
"68","TFN Intercauseway","BC-TFN-4-BA-4",0.066903857,"BA",7931.438082,"Pacific",5.05266248736054,4.54067744387056,2.98074523612614,0.303483993775484,0.337703395543694,0.199223239234475
"69","TFN Intercauseway","BC-TFN-5-BA-5",0.066903857,"BA",7931.438082,"Pacific",4.45486218185062,3.93430777918413,2.50831640848505,0.262956233365691,0.297748383006687,0.167647645248884
"70","Taylor's Head","NS-TH-1-BA-1",0.686227353,"BA",18787.93701,"Atlantic",0.423547702122835,0.308148857878744,0.154073614134516,0.0205956593971754,0.0283085398123098,0.0102977752397025
"71","Taylor's Head","NS-TH-2-SG-2",0.686227353,"SG",18787.93701,"Atlantic",0.424341388275487,0.403252750121179,0.297413693159952,0.0269520917573487,0.0283615871926597,0.0198781561825187
"72","Taylor's Head","NS-TH-3-SG-3",0.686227353,"SG",18787.93701,"Atlantic",0.328799095112954,0.311750220670266,0.228595457662347,0.0208363626791232,0.0219758535522809,0.0152785709418653
"73","Taylor's Head","NS-TH-4-SG-4",0.686227353,"SG",18787.93701,"Atlantic",0.320048554928788,0.303691604735308,0.223130487495241,0.0202977512101351,0.0213909961349437,0.0149133102527546
"74","Taylor's Head","NS-TH-5-BA-5",0.686227353,"BA",18787.93701,"Atlantic",0.241477671044128,0.183393337276226,0.0960195041758177,0.0122574094100286,0.0161395758500752,0.0064176288599745
"75","Taylor's Head Deep","NS-THd-1-SG-1",1,"SG",18665.01085,"Atlantic",12.3409474147339,5.80786153360328,1.98049939586943,0.388178423880835,0.824828465508471,0.132370086569294
"76","Taylor's Head Deep","NS-THd-2-BA-2",1,"BA",18665.01085,"Atlantic",20.8191727912815,8.84130798421997,2.78347984419529,0.59092403951137,1.39148525388629,0.186038667170746
"77","Taylor's Head Deep","NS-THd-3-BA-3",1,"BA",18665.01085,"Atlantic",15.0243419004785,7.22697939600965,2.50737038824016,0.483027609238096,1.00417775544938,0.167584416357235
"78","Taylor's Head Deep","NS-THd-4-SG-4",1,"SG",18665.01085,"Atlantic",14.1929698816701,8.04916121848468,3.19503343876308,0.537979546736134,0.948611575358399,0.213545560156657
"79","Tsawwassen","BC-TSW-1-SG-1",0.061334021,"SG",8487.07946,"Pacific",11.3824132878058,7.5754003762998,3.46790313580504,0.506314925265435,0.760763187010675,0.231783276105934
"80","Tsawwassen","BC-TSW-2-SG-2",0.061334021,"SG",8487.07946,"Pacific",9.54113102462481,7.3694563055057,3.93221154585197,0.492550298759462,0.637697917168075,0.262816128002253
"81","Tsawwassen","BC-TSW-3-SG-3",0.061334021,"SG",8487.07946,"Pacific",9.67515612255361,7.26930715268048,3.76131426232881,0.48585665772278,0.646655715313479,0.251393913856872
"82","Tsawwassen","BC-TSW-4-BA-4",0.061334021,"BA",8487.07946,"Pacific",7.55689605663476,5.92919824544063,3.22153781393249,0.396288171898654,0.50507815720528,0.21531702569861
"83","Tsawwassen","BC-TSW-5-BA-5",0.061334021,"BA",8487.07946,"Pacific",9.5474372469133,7.38243669498437,3.94407271643638,0.493417865436119,0.638119404390941,0.263608889757366
"84","Tsawwassen","BC-TSW-7-BA-7",0.061334021,"BA",8487.07946,"Pacific",4.48736636125776,3.15976818911184,1.52803303583357,0.211188546486793,0.299920855793581,0.102128718471655
