"","Site","CoreName_2","REI_Scaled","Type","Watercourse_NEAR_DIST.x","c_100","c_60","c_30","c_60_m2","c_100_m2","c_30_m2"
"42","Sacrifice Shallow","NS-SCs-3-BA-3",0.01492786,"BA",14864.16694,38.0589349441724,11.9971103684637,3.87963351070281,6734.67737199064,21364.698673136,2177.86443682544
"43","Sacrifice Shallow","NS-SCs-4-BA-4",0.01492786,"BA",14864.16694,40.7537374764058,17.3389933696692,6.81765764809303,9733.38768365106,22877.4484169011,3827.14864516753
"44","Sacrifice Shallow","NS-SCs-5-SG-5",0.01492786,"SG",14864.16694,25.8434824484382,14.5404141266378,6.93368798312054,8162.38202287878,14507.4531377527,3892.2832357293
"45","Sambro Deep","NS-SAd-1-SG-1",0.327026712,"SG",23533.52887,15.1398279722219,4.58937540093913,1.44729119212085,2576.28393129747,8498.86795476821,812.448910020807
"46","Sambro Deep","NS-SAd-2-SG-2",0.327026712,"SG",23533.52887,7.92713953398721,5.55235251723345,3.13846322036168,3116.8591194611,4449.96550040013,1761.80234938535
"47","Sambro Deep","NS-SAd-3-SG-3",0.327026712,"SG",23533.52887,10.1345438055488,4.21411033805733,1.63195938490808,2365.62577696956,5689.11018957455,916.113931104531
"48","Sambro Deep","NS-SAd-4-BA-4",0.327026712,"BA",23533.52887,9.24911342392062,5.34695296820425,2.60071463571381,3001.55637966967,5192.06650384677,1459.93272298199
"49","Sambro Deep","NS-SAd-5-BA-5",0.327026712,"BA",23533.52887,5.94114623072294,3.57534132717937,1.79167970842757,2007.04749675328,3335.11169397211,1005.77425893491
"50","Sambro Shallow","NS-SAs-1-SG-1",0.184812561,"SG",23558.20146,3.08011357277946,2.5083040149425,1.63248753894402,1408.05725484625,1729.0472909449,916.410414751472
"51","Sambro Shallow","NS-SAs-2-SG-2",0.184812561,"SG",23558.20146,6.57446885949477,3.1579300577889,1.34748627514219,1772.73021997242,3690.63260243779,756.422592403818
"52","Sambro Shallow","NS-SAs-3-SG-3",0.184812561,"SG",23558.20146,7.56941447166699,2.82263858665806,1.01760883661695,1584.51157279034,4249.15357080958,571.243157312011
"53","Sambro Shallow","NS-SAs-4-BA-4",0.184812561,"BA",23558.20146,3.42957955857473,3.0731821898979,2.24465281984607,1725.15630169704,1925.22291945312,1260.05447057733
"54","Sambro Shallow","NS-SAs-5-BA-5",0.184812561,"BA",23558.20146,4.81453826898142,1.68765658959684,0.584453830994053,947.380018735643,2702.68097407229,328.088003667581
"55","Sandy Island Exposed","BC-SIE-1-SG-1",0.457362703,"SG",32635.46911,0.800489575930676,0.609554224640876,0.371118761146221,342.178317745684,449.361460215112,208.330593472127
