"","X.1","X","X.x","Site","CoreName_2","Extracted_IntervalStart_Depth_cm","Extracted_IntervalEnd_Depth_cm","Corrected_DBD_g_cm3","Corrected_Sample_Thickness_cm","Province","Region","OC_Per","Study","Percent.Sand.Fraction","Percent.Gravel.Fraction","Core.Number","Type","Coast","Percent.Silt.Fraction","SiteName2.x","Corrected_Midpoint_cm","SiteCode","Watercourse_NEAR_DIST.x","REI_SUM","REI_Scaled","REI_Raw","c_dens","estCfactorS","meanCF","sdCF","conversion","consistent.with.Matts.data","CF_final","corr_SD","corr_ED","corr_thickness","corr_segment_midpoint"
"119",123,123,123,"Parksville","BC-PAR-2-SG-2",10,20,0.872310406,19.41,"BC","Vancouver Island",0.088,"Christensen",100,0,2,"SG","Pacific",0,"Parksville",29.205,"PAR",37982.6795,1.58997e+66,0.098275402,5429.014022,0.00076763315728,0.512820512820513,"0.51381094016188",0.00126513903568041,"Missing",NA,0.51381094016188,5.1381094016188,10.2762188032376,5.1381094016188,7.7071641024282
"120",124,124,124,"Parksville","BC-PAR-3-SG-3",10,20,0.946035814,17.3,"BC","Vancouver Island",0.152,"Christensen",100.1,0,3,"SG","Pacific",0,"Parksville",25.95,"PAR",37982.6795,1.58997e+66,0.098275402,5429.014022,0.00143797443728,0.578034682080925,"0.575552644817146",0.00316410077723114,"Missing",NA,0.575552644817146,5.75552644817146,11.5110528963429,5.75552644817146,8.63328967225719
"121",125,125,125,"Parksville","BC-PAR-3-SG-3",2,5,1.143369764,5.2,"BC","Vancouver Island",0.085,"Christensen",100,0,3,"SG","Pacific",0,"Parksville",6.1,"PAR",37982.6795,1.58997e+66,0.098275402,5429.014022,0.0009718642994,0.571428571428571,"0.575552644817146",0.00316410077723114,"Missing",NA,0.575552644817146,1.15110528963429,2.87776322408573,1.72665793445144,2.01443425686001
"122",126,126,126,"Parksville","BC-PAR-3-SG-3",20,32.4,0.920590799,21.5,"BC","Vancouver Island",0.107,"Christensen",99,0.4,3,"SG","Pacific",0.7,"Parksville",45.35,"PAR",37982.6795,1.58997e+66,0.098275402,5429.014022,0.00098503215493,0.578034682080925,"0.575552644817146",0.00316410077723114,"Missing",NA,0.575552644817146,11.5110528963429,18.6479056920755,7.13685279573261,15.0794792942092
"123",127,127,127,"Parksville","BC-PAR-3-SG-3",5,10,0.923341329,8.6,"BC","Vancouver Island",0.116,"Christensen",99.9,0.2,3,"SG","Pacific",0,"Parksville",13,"PAR",37982.6795,1.58997e+66,0.098275402,5429.014022,0.00107107594164,0.574712643678161,"0.575552644817146",0.00316410077723114,"Missing",NA,0.575552644817146,2.87776322408573,5.75552644817146,2.87776322408573,4.31664483612859
"124",128,128,128,"Parksville","BC-PAR-4-BA-4",0,2,0.815282459,3.6,"BC","Vancouver Island",0.06,"Christensen",99.9,0,4,"BA","Pacific",0,"Parksville",1.8,"PAR",37982.6795,1.58997e+66,0.098275402,5429.014022,0.0004891694754,0,"0.555170821791321",0.000769467528470513,"Missing",NA,0.555170821791321,0,1.11034164358264,1.11034164358264,0.555170821791321
"125",129,129,129,"Parksville","BC-PAR-4-BA-4",10,20,0.632933024,18.1,"BC","Vancouver Island",0.045,"Christensen",100.1,0,4,"BA","Pacific",0,"Parksville",27.05,"PAR",37982.6795,1.58997e+66,0.098275402,5429.014022,0.0002848198608,0.555555555555556,"0.555170821791321",0.000769467528470513,"Missing",NA,0.555170821791321,5.55170821791321,11.1034164358264,5.55170821791321,8.32756232686982
"126",130,130,130,"Parksville","BC-PAR-4-BA-4",2,5,0.824617755,5.4,"BC","Vancouver Island",0.066,"Christensen",100,0,4,"BA","Pacific",0,"Parksville",6.3,"PAR",37982.6795,1.58997e+66,0.098275402,5429.014022,0.0005442477183,0.555555555555556,"0.555170821791321",0.000769467528470513,"Missing",NA,0.555170821791321,1.11034164358264,2.77585410895661,1.66551246537396,1.94309787626962
"127",131,131,131,"Parksville","BC-PAR-4-BA-4",20,30.1,1.218209827,18.2,"BC","Vancouver Island",0.07,"Christensen",99.9,0.2,4,"BA","Pacific",0,"Parksville",45.2,"PAR",37982.6795,1.58997e+66,0.098275402,5429.014022,0.0008527468789,0.554016620498615,"0.555170821791321",0.000769467528470513,"Missing",NA,0.555170821791321,11.1034164358264,16.7106417359188,5.60722530009234,13.9070290858726
"128",132,132,132,"Parksville","BC-PAR-4-BA-4",5,10,0.453073,9,"BC","Vancouver Island",0.068,"Christensen",99.9,0.2,4,"BA","Pacific",0,"Parksville",13.5,"PAR",37982.6795,1.58997e+66,0.098275402,5429.014022,0.00030808964,0.555555555555556,"0.555170821791321",0.000769467528470513,"Missing",NA,0.555170821791321,2.77585410895661,5.55170821791321,2.77585410895661,4.16378116343491
