,SiteName2,SampleName,CoreName_2,Extracted_IntervalStart_Depth_cm,Extracted_IntervalEnd_Depth_cm,Corrected_IntervalStart_Depth_cm,Corrected_IntervalEnd_Depth_cm,Corrected_DBD_g_cm3,Corrected_Sample_Thickness_cm,Province,Region,Site,OC_Per,Study,Percent.Sand.Fraction,Percent.Gravel.Fraction,Percent.Silt.Fraction,Core.Number,Corrected_Midpoint_cm,Corrected_Midpoint_cm_rounded,Prov,SiteCode,Watercourse_NEAR_FID,Watercourse_NEAR_DIST,Elevation,REI,LOI_Percent,Coast,Type
56,Fulmore,BC-FUL-4-SG-4-10-20,BC-FUL-4-SG-4,10,20,13.3,26.6,1.045054984,13.3,BC,Central Coast,Fulmore,0.744,Christensen,72.2,0,27.7,4,19.95,20,BC ,FUL,3896,58527.17962,-20,729.1859637,2.416656339,Pacific,Seagrass
57,Fulmore,BC-FUL-4-SG-4-2-5,BC-FUL-4-SG-4,2,5,2.7,6.65,0.896203587,3.95,BC,Central Coast,Fulmore,1.015,Christensen,70.2,0,29.8,4,4.675,5,BC ,FUL,3896,58527.17962,-20,729.1859637,2.852536277,Pacific,Seagrass
58,Fulmore,BC-FUL-4-SG-4-20-30,BC-FUL-4-SG-4,20,30,26.6,39.9,1.013821515,13.3,BC,Central Coast,Fulmore,0.8,Christensen,73.3,0,26.9,4,33.25,35,BC ,FUL,3896,58527.17962,-20,729.1859637,2.056074766,Pacific,Seagrass
59,Fulmore,BC-FUL-4-SG-4-30-40,BC-FUL-4-SG-4,30,40,39.9,53.2,0.862296984,13.3,BC,Central Coast,Fulmore,0.707,Christensen,69.9,0,30.1,4,46.55,50,BC ,FUL,3896,58527.17962,-20,729.1859637,1.967131474,Pacific,Seagrass
60,Fulmore,BC-FUL-4-SG-4-5-10,BC-FUL-4-SG-4,5,10,6.7,13.3,1.062782088,6.6,BC,Central Coast,Fulmore,0.809,Christensen,73.3,0,26.7,4,10,10,BC ,FUL,3896,58527.17962,-20,729.1859637,2.23650068,Pacific,Seagrass
61,Mason's Island Shallow,NS-MAs-3-SG-3-10-20,NS-MAs-3-SG-3,10,20,10,20,0.4,10,NS,Atlantic,Mason's Island Shallow,4.992,Christensen,71.7,0,28.4,3,15,15,NS ,MAs,3254,12230.32955,13,420.4247518,14.56602693,Atlantic,Seagrass
62,Mason's Island Shallow,NS-MAs-3-SG-3-20-30,NS-MAs-3-SG-3,20,30,20,30,0.3,10,NS,Atlantic,Mason's Island Shallow,4.776,Christensen,69.8,0,30.3,3,25,25,NS ,MAs,3254,12230.32955,13,420.4247518,15.03570981,Atlantic,Seagrass
63,Mason's Island Shallow,NS-MAs-3-SG-3-30-40,NS-MAs-3-SG-3,30,40,30,40,0.3,10,NS,Atlantic,Mason's Island Shallow,5.147,Christensen,69.2,0,31,3,35,35,NS ,MAs,3254,12230.32955,13,420.4247518,14.15236788,Atlantic,Seagrass
64,Mason's Island Shallow,NS-MAs-3-SG-3-40-50,NS-MAs-3-SG-3,40,50,40,50,0.2,10,NS,Atlantic,Mason's Island Shallow,4.94,Christensen,65.7,0,34.2,3,45,45,NS ,MAs,3254,12230.32955,13,420.4247518,12.71433571,Atlantic,Seagrass
65,Mason's Island Shallow,NS-MAs-3-SG-3-5-10,NS-MAs-3-SG-3,5,10,5,10,0.3,5,NS,Atlantic,Mason's Island Shallow,4.944,Christensen,75.1,0,25,3,7.5,10,NS ,MAs,3254,12230.32955,13,420.4247518,15.97434331,Atlantic,Seagrass
66,Mason's Island Shallow,NS-MAs-3-SG-3-50-54.7,NS-MAs-3-SG-3,50,54.7,50,54.7,0.3,4.7,NS,Atlantic,Mason's Island Shallow,5.433,Christensen,69.3,0,30.7,3,52.35,55,NS ,MAs,3254,12230.32955,13,420.4247518,15.97365171,Atlantic,Seagrass
67,Parksville,BC-PAR-1-SG-1-0-2,BC-PAR-1-SG-1,0,2,0,2.9,1.438242308,2.9,BC,Vancouver Island,Parksville,0.078,Christensen,99.9,0,0,1,1.45,5,BC ,PAR,2273,37982.6795,6,5429.014022,0.572737686,Pacific,Seagrass
